"method","rho_est","fpr","na_rate","rep"
"DPM",-0.00226273825729428,0.0254,0.1,12
"ORBIT_P",-0.00226273825729428,0.05,0.1,12
"Fisher",0.00255122838230131,0.049,0.2,12
"Brown",0.00255122838230131,0.0399,0.2,12
"Stouffer",0.00255122838230131,0.0422,0.2,12
"DPM",0.00255122838230131,0.0243,0.2,12
"ORBIT_P",0.00255122838230131,0.0504,0.2,12
"Fisher",0.00531623447755513,0.049,0.3,12
"Brown",0.00531623447755513,0.0353,0.3,12
"Stouffer",0.00531623447755513,0.0382,0.3,12
"DPM",0.00531623447755513,0.0224,0.3,12
"ORBIT_P",0.00531623447755513,0.0503,0.3,12
"Fisher",0.00758226017091025,0.0489,0.4,12
"Brown",0.00758226017091025,0.0319,0.4,12
"Stouffer",0.00758226017091025,0.0332,0.4,12
"DPM",0.00758226017091025,0.0209,0.4,12
"ORBIT_P",0.00758226017091025,0.0491,0.4,12
"Fisher",0.0180903742979691,0.0488,0.5,12
"Brown",0.0180903742979691,0.0279,0.5,12
"Stouffer",0.0180903742979691,0.0291,0.5,12
"DPM",0.0180903742979691,0.0193,0.5,12
"ORBIT_P",0.0180903742979691,0.049,0.5,12
"Fisher",0.000657583521295298,0.0488,0.6,12
"Brown",0.000657583521295298,0.0245,0.6,12
"Stouffer",0.000657583521295298,0.0234,0.6,12
"DPM",0.000657583521295298,0.0174,0.6,12
"ORBIT_P",0.000657583521295298,0.0503,0.6,12
"Fisher",0.00343432168004318,0.0492,0.7,12
"Brown",0.00343432168004318,0.0206,0.7,12
"Stouffer",0.00343432168004318,0.0193,0.7,12
"DPM",0.00343432168004318,0.0155,0.7,12
"ORBIT_P",0.00343432168004318,0.0503,0.7,12
"Fisher",0.00177243299214932,0.0495,0.8,12
"Brown",0.00177243299214932,0.017,0.8,12
"Stouffer",0.00177243299214932,0.0149,0.8,12
"DPM",0.00177243299214932,0.0134,0.8,12
"ORBIT_P",0.00177243299214932,0.0499,0.8,12
"Fisher",0.0064968215915373,0.0491,0.9,12
"Brown",0.0064968215915373,0.0131,0.9,12
"Stouffer",0.0064968215915373,0.01,0.9,12
"DPM",0.0064968215915373,0.0114,0.9,12
"ORBIT_P",0.0064968215915373,0.0496,0.9,12
"Fisher",0.00553132786373123,0.0536,0,13
"Brown",0.00553132786373123,0.0536,0,13
"Stouffer",0.00553132786373123,0.0529,0,13
"DPM",0.00553132786373123,0.0322,0,13
"ORBIT_P",0.00553132786373123,0.0529,0,13
"Fisher",0.00810550864661567,0.0532,0.1,13
"Brown",0.00810550864661567,0.0491,0.1,13
"Stouffer",0.00810550864661567,0.049,0.1,13
"DPM",0.00810550864661567,0.03,0.1,13
"ORBIT_P",0.00810550864661567,0.0525,0.1,13
"Fisher",0.00863660794803936,0.0539,0.2,13
"Brown",0.00863660794803936,0.0442,0.2,13
"Stouffer",0.00863660794803936,0.0434,0.2,13
"DPM",0.00863660794803936,0.0269,0.2,13
"ORBIT_P",0.00863660794803936,0.0523,0.2,13
"Fisher",0.00809848947250442,0.053,0.3,13
"Brown",0.00809848947250442,0.0384,0.3,13
"Stouffer",0.00809848947250442,0.0372,0.3,13
"DPM",0.00809848947250442,0.0234,0.3,13
"ORBIT_P",0.00809848947250442,0.0516,0.3,13
"Fisher",0.007001125722858,0.053,0.4,13
"Brown",0.007001125722858,0.0342,0.4,13
"Stouffer",0.007001125722858,0.0326,0.4,13
"DPM",0.007001125722858,0.0209,0.4,13
"ORBIT_P",0.007001125722858,0.0509,0.4,13
"Fisher",0.0161811277018657,0.0527,0.5,13
"Brown",0.0161811277018657,0.0297,0.5,13
"Stouffer",0.0161811277018657,0.0287,0.5,13
"DPM",0.0161811277018657,0.0194,0.5,13
"ORBIT_P",0.0161811277018657,0.0518,0.5,13
"Fisher",-0.00349420716319329,0.0531,0.6,13
"Brown",-0.00349420716319329,0.0252,0.6,13
"Stouffer",-0.00349420716319329,0.0232,0.6,13
"DPM",-0.00349420716319329,0.0169,0.6,13
"ORBIT_P",-0.00349420716319329,0.0524,0.6,13
"Fisher",0.00441367751338011,0.0527,0.7,13
"Brown",0.00441367751338011,0.0213,0.7,13
"Stouffer",0.00441367751338011,0.0191,0.7,13
"DPM",0.00441367751338011,0.0152,0.7,13
"ORBIT_P",0.00441367751338011,0.0521,0.7,13
"Fisher",-0.00454763929264693,0.0526,0.8,13
"Brown",-0.00454763929264693,0.017,0.8,13
"Stouffer",-0.00454763929264693,0.015,0.8,13
"DPM",-0.00454763929264693,0.0127,0.8,13
"ORBIT_P",-0.00454763929264693,0.0524,0.8,13
"Fisher",-0.0222049235279508,0.0519,0.9,13
"Brown",-0.0222049235279508,0.0124,0.9,13
"Stouffer",-0.0222049235279508,0.0097,0.9,13
"DPM",-0.0222049235279508,0.0101,0.9,13
"ORBIT_P",-0.0222049235279508,0.0514,0.9,13
"Fisher",-0.00981484304602718,0.0516,0,14
"Brown",-0.00981484304602718,0.0516,0,14
"Stouffer",-0.00981484304602718,0.0514,0,14
"DPM",-0.00981484304602718,0.029,0,14
"ORBIT_P",-0.00981484304602718,0.0497,0,14
"Fisher",-0.0113495995308562,0.0514,0.1,14
"Brown",-0.0113495995308562,0.0482,0.1,14
"Stouffer",-0.0113495995308562,0.0474,0.1,14
"DPM",-0.0113495995308562,0.0273,0.1,14
"ORBIT_P",-0.0113495995308562,0.0497,0.1,14
"Fisher",-0.0174583411880383,0.0515,0.2,14
"Brown",-0.0174583411880383,0.0431,0.2,14
"Stouffer",-0.0174583411880383,0.0411,0.2,14
"DPM",-0.0174583411880383,0.024,0.2,14
"ORBIT_P",-0.0174583411880383,0.0486,0.2,14
"Fisher",-0.0188421843645436,0.0511,0.3,14
"Brown",-0.0188421843645436,0.0383,0.3,14
"Stouffer",-0.0188421843645436,0.0359,0.3,14
"DPM",-0.0188421843645436,0.0216,0.3,14
"ORBIT_P",-0.0188421843645436,0.0483,0.3,14
"Fisher",-0.0226081845808247,0.0517,0.4,14
"Brown",-0.0226081845808247,0.0338,0.4,14
"Stouffer",-0.0226081845808247,0.031,0.4,14
"DPM",-0.0226081845808247,0.0194,0.4,14
"ORBIT_P",-0.0226081845808247,0.0488,0.4,14
"Fisher",-0.0184637885358998,0.0519,0.5,14
"Brown",-0.0184637885358998,0.0299,0.5,14
"Stouffer",-0.0184637885358998,0.0274,0.5,14
"DPM",-0.0184637885358998,0.0181,0.5,14
"ORBIT_P",-0.0184637885358998,0.0497,0.5,14
"Fisher",-0.0207374482964391,0.0511,0.6,14
"Brown",-0.0207374482964391,0.0256,0.6,14
"Stouffer",-0.0207374482964391,0.0223,0.6,14
"DPM",-0.0207374482964391,0.0161,0.6,14
"ORBIT_P",-0.0207374482964391,0.0491,0.6,14
"Fisher",-0.0239203715684946,0.0499,0.7,14
"Brown",-0.0239203715684946,0.0205,0.7,14
"Stouffer",-0.0239203715684946,0.0179,0.7,14
"DPM",-0.0239203715684946,0.0134,0.7,14
"ORBIT_P",-0.0239203715684946,0.0485,0.7,14
"Fisher",-0.023897188180478,0.05,0.8,14
"Brown",-0.023897188180478,0.0168,0.8,14
"Stouffer",-0.023897188180478,0.0137,0.8,14
"DPM",-0.023897188180478,0.0116,0.8,14
"ORBIT_P",-0.023897188180478,0.0493,0.8,14
"Fisher",-0.0196418530195748,0.0498,0.9,14
"Brown",-0.0196418530195748,0.0121,0.9,14
"Stouffer",-0.0196418530195748,0.0088,0.9,14
"DPM",-0.0196418530195748,0.0095,0.9,14
"ORBIT_P",-0.0196418530195748,0.0493,0.9,14
"Fisher",-0.00616738497051955,0.0478,0,15
"Brown",-0.00616738497051955,0.0478,0,15
"Stouffer",-0.00616738497051955,0.0461,0,15
"DPM",-0.00616738497051955,0.0292,0,15
"ORBIT_P",-0.00616738497051955,0.0481,0,15
"Fisher",-0.00823650733152822,0.0464,0.1,15
"Brown",-0.00823650733152822,0.0438,0.1,15
"Stouffer",-0.00823650733152822,0.0421,0.1,15
"DPM",-0.00823650733152822,0.027,0.1,15
"ORBIT_P",-0.00823650733152822,0.0474,0.1,15
"Fisher",-0.00667462908135719,0.0465,0.2,15
"Brown",-0.00667462908135719,0.0402,0.2,15
"Stouffer",-0.00667462908135719,0.0384,0.2,15
"DPM",-0.00667462908135719,0.0251,0.2,15
"ORBIT_P",-0.00667462908135719,0.0468,0.2,15
"Fisher",-0.00715221673848881,0.0464,0.3,15
"Brown",-0.00715221673848881,0.0359,0.3,15
"Stouffer",-0.00715221673848881,0.0339,0.3,15
"DPM",-0.00715221673848881,0.0223,0.3,15
"ORBIT_P",-0.00715221673848881,0.0471,0.3,15
"Fisher",0.000444050349699216,0.0457,0.4,15
"Brown",0.000444050349699216,0.0316,0.4,15
"Stouffer",0.000444050349699216,0.0298,0.4,15
"DPM",0.000444050349699216,0.0204,0.4,15
"ORBIT_P",0.000444050349699216,0.0469,0.4,15
"Fisher",-0.00356491445886792,0.0451,0.5,15
"Brown",-0.00356491445886792,0.027,0.5,15
"Stouffer",-0.00356491445886792,0.0252,0.5,15
"DPM",-0.00356491445886792,0.0176,0.5,15
"ORBIT_P",-0.00356491445886792,0.046,0.5,15
"Fisher",0.00463784222131419,0.0463,0.6,15
"Brown",0.00463784222131419,0.0232,0.6,15
"Stouffer",0.00463784222131419,0.0215,0.6,15
"DPM",0.00463784222131419,0.0158,0.6,15
"ORBIT_P",0.00463784222131419,0.0467,0.6,15
"Fisher",-0.00365349706335766,0.047,0.7,15
"Brown",-0.00365349706335766,0.0197,0.7,15
"Stouffer",-0.00365349706335766,0.0171,0.7,15
"DPM",-0.00365349706335766,0.0138,0.7,15
"ORBIT_P",-0.00365349706335766,0.047,0.7,15
"Fisher",-0.0145927244455994,0.0471,0.8,15
"Brown",-0.0145927244455994,0.0165,0.8,15
"Stouffer",-0.0145927244455994,0.0126,0.8,15
"DPM",-0.0145927244455994,0.0122,0.8,15
"ORBIT_P",-0.0145927244455994,0.0466,0.8,15
"Fisher",-0.0303189989487949,0.0474,0.9,15
"Brown",-0.0303189989487949,0.0129,0.9,15
"Stouffer",-0.0303189989487949,0.0097,0.9,15
"DPM",-0.0303189989487949,0.0103,0.9,15
"ORBIT_P",-0.0303189989487949,0.0463,0.9,15
"Fisher",-0.00468941745269793,0.049,0,16
"Brown",-0.00468941745269793,0.049,0,16
"Stouffer",-0.00468941745269793,0.0494,0,16
"DPM",-0.00468941745269793,0.0293,0,16
"ORBIT_P",-0.00468941745269793,0.049,0,16
"Fisher",-0.00485465230103709,0.049,0.1,16
"Brown",-0.00485465230103709,0.0451,0.1,16
"Stouffer",-0.00485465230103709,0.0449,0.1,16
"DPM",-0.00485465230103709,0.0276,0.1,16
"ORBIT_P",-0.00485465230103709,0.0491,0.1,16
"Fisher",-0.0082089177757215,0.049,0.2,16
"Brown",-0.0082089177757215,0.0405,0.2,16
"Stouffer",-0.0082089177757215,0.04,0.2,16
"DPM",-0.0082089177757215,0.0243,0.2,16
"ORBIT_P",-0.0082089177757215,0.0485,0.2,16
"Fisher",-0.00208027038148025,0.0486,0.3,16
"Brown",-0.00208027038148025,0.0364,0.3,16
"Stouffer",-0.00208027038148025,0.0365,0.3,16
"DPM",-0.00208027038148025,0.0229,0.3,16
"ORBIT_P",-0.00208027038148025,0.0483,0.3,16
"Fisher",-0.00506975985381534,0.0491,0.4,16
"Brown",-0.00506975985381534,0.0324,0.4,16
"Stouffer",-0.00506975985381534,0.0312,0.4,16
"DPM",-0.00506975985381534,0.0207,0.4,16
"ORBIT_P",-0.00506975985381534,0.0481,0.4,16
"Fisher",-0.00672874822225736,0.0498,0.5,16
"Brown",-0.00672874822225736,0.0284,0.5,16
"Stouffer",-0.00672874822225736,0.0269,0.5,16
"DPM",-0.00672874822225736,0.0189,0.5,16
"ORBIT_P",-0.00672874822225736,0.0487,0.5,16
"Fisher",-6.25087083089741e-06,0.0492,0.6,16
"Brown",-6.25087083089741e-06,0.0246,0.6,16
"Stouffer",-6.25087083089741e-06,0.0231,0.6,16
"DPM",-6.25087083089741e-06,0.0172,0.6,16
"ORBIT_P",-6.25087083089741e-06,0.0486,0.6,16
"Fisher",-0.00957763936218889,0.0496,0.7,16
"Brown",-0.00957763936218889,0.0208,0.7,16
"Stouffer",-0.00957763936218889,0.0177,0.7,16
"DPM",-0.00957763936218889,0.0145,0.7,16
"ORBIT_P",-0.00957763936218889,0.0483,0.7,16
"Fisher",-0.0421444407620065,0.0498,0.8,16
"Brown",-0.0421444407620065,0.017,0.8,16
"Stouffer",-0.0421444407620065,0.0134,0.8,16
"DPM",-0.0421444407620065,0.0124,0.8,16
"ORBIT_P",-0.0421444407620065,0.0484,0.8,16
"Fisher",-0.0922676375154689,0.0506,0.9,16
"Brown",-0.0922676375154689,0.0132,0.9,16
"Stouffer",-0.0922676375154689,0.0092,0.9,16
"DPM",-0.0922676375154689,0.0104,0.9,16
"ORBIT_P",-0.0922676375154689,0.0491,0.9,16
"Fisher",0.00876138513766907,0.0513,0,17
"Brown",0.00876138513766907,0.0512,0,17
"Stouffer",0.00876138513766907,0.0517,0,17
"DPM",0.00876138513766907,0.0306,0,17
"ORBIT_P",0.00876138513766907,0.0499,0,17
"Fisher",0.0113970859246326,0.0515,0.1,17
"Brown",0.0113970859246326,0.0467,0.1,17
"Stouffer",0.0113970859246326,0.0476,0.1,17
"DPM",0.0113970859246326,0.0282,0.1,17
"ORBIT_P",0.0113970859246326,0.0505,0.1,17
"Fisher",0.0108179090002389,0.0516,0.2,17
"Brown",0.0108179090002389,0.043,0.2,17
"Stouffer",0.0108179090002389,0.0432,0.2,17
"DPM",0.0108179090002389,0.0263,0.2,17
"ORBIT_P",0.0108179090002389,0.0506,0.2,17
"Fisher",0.00795617270216152,0.0509,0.3,17
"Brown",0.00795617270216152,0.039,0.3,17
"Stouffer",0.00795617270216152,0.0385,0.3,17
"DPM",0.00795617270216152,0.0245,0.3,17
"ORBIT_P",0.00795617270216152,0.0506,0.3,17
"Fisher",0.00346631628819963,0.0509,0.4,17
"Brown",0.00346631628819963,0.0346,0.4,17
"Stouffer",0.00346631628819963,0.0321,0.4,17
"DPM",0.00346631628819963,0.0221,0.4,17
"ORBIT_P",0.00346631628819963,0.0504,0.4,17
"Fisher",0.0122779201471425,0.0503,0.5,17
"Brown",0.0122779201471425,0.0302,0.5,17
"Stouffer",0.0122779201471425,0.0286,0.5,17
"DPM",0.0122779201471425,0.0202,0.5,17
"ORBIT_P",0.0122779201471425,0.0501,0.5,17
"Fisher",0.00648227537106267,0.0503,0.6,17
"Brown",0.00648227537106267,0.0267,0.6,17
"Stouffer",0.00648227537106267,0.024,0.6,17
"DPM",0.00648227537106267,0.0182,0.6,17
"ORBIT_P",0.00648227537106267,0.0501,0.6,17
"Fisher",0.0076479401592465,0.0504,0.7,17
"Brown",0.0076479401592465,0.0226,0.7,17
"Stouffer",0.0076479401592465,0.0192,0.7,17
"DPM",0.0076479401592465,0.016,0.7,17
"ORBIT_P",0.0076479401592465,0.0498,0.7,17
"Fisher",0.0191581035436881,0.0484,0.8,17
"Brown",0.0191581035436881,0.017,0.8,17
"Stouffer",0.0191581035436881,0.015,0.8,17
"DPM",0.0191581035436881,0.0132,0.8,17
"ORBIT_P",0.0191581035436881,0.0487,0.8,17
"Fisher",0.0349007061919336,0.0491,0.9,17
"Brown",0.0349007061919336,0.0139,0.9,17
"Stouffer",0.0349007061919336,0.0107,0.9,17
"DPM",0.0349007061919336,0.0115,0.9,17
"ORBIT_P",0.0349007061919336,0.0484,0.9,17
"Fisher",-0.0251162671104682,0.0508,0,18
"Brown",-0.0251162671104682,0.0492,0,18
"Stouffer",-0.0251162671104682,0.0469,0,18
"DPM",-0.0251162671104682,0.027,0,18
"ORBIT_P",-0.0251162671104682,0.047,0,18
"Fisher",-0.0243297931739109,0.0505,0.1,18
"Brown",-0.0243297931739109,0.0454,0.1,18
"Stouffer",-0.0243297931739109,0.0433,0.1,18
"DPM",-0.0243297931739109,0.0251,0.1,18
"ORBIT_P",-0.0243297931739109,0.0466,0.1,18
"Fisher",-0.021454391681288,0.0508,0.2,18
"Brown",-0.021454391681288,0.0404,0.2,18
"Stouffer",-0.021454391681288,0.0388,0.2,18
"DPM",-0.021454391681288,0.023,0.2,18
"ORBIT_P",-0.021454391681288,0.0476,0.2,18
"Fisher",-0.0220303819793577,0.051,0.3,18
"Brown",-0.0220303819793577,0.0365,0.3,18
"Stouffer",-0.0220303819793577,0.0355,0.3,18
"DPM",-0.0220303819793577,0.0212,0.3,18
"ORBIT_P",-0.0220303819793577,0.0486,0.3,18
"Fisher",-0.0191452023561115,0.0501,0.4,18
"Brown",-0.0191452023561115,0.0325,0.4,18
"Stouffer",-0.0191452023561115,0.0305,0.4,18
"DPM",-0.0191452023561115,0.0196,0.4,18
"ORBIT_P",-0.0191452023561115,0.048,0.4,18
"Fisher",-0.0161408669674636,0.05,0.5,18
"Brown",-0.0161408669674636,0.0292,0.5,18
"Stouffer",-0.0161408669674636,0.0264,0.5,18
"DPM",-0.0161408669674636,0.0187,0.5,18
"ORBIT_P",-0.0161408669674636,0.0478,0.5,18
"Fisher",-0.03623425355291,0.0494,0.6,18
"Brown",-0.03623425355291,0.0243,0.6,18
"Stouffer",-0.03623425355291,0.0206,0.6,18
"DPM",-0.03623425355291,0.0156,0.6,18
"ORBIT_P",-0.03623425355291,0.047,0.6,18
"Fisher",-0.043945755898877,0.0497,0.7,18
"Brown",-0.043945755898877,0.0206,0.7,18
"Stouffer",-0.043945755898877,0.0157,0.7,18
"DPM",-0.043945755898877,0.0141,0.7,18
"ORBIT_P",-0.043945755898877,0.0471,0.7,18
"Fisher",-0.0475077941457673,0.0491,0.8,18
"Brown",-0.0475077941457673,0.0153,0.8,18
"Stouffer",-0.0475077941457673,0.0117,0.8,18
"DPM",-0.0475077941457673,0.0115,0.8,18
"ORBIT_P",-0.0475077941457673,0.0481,0.8,18
"Fisher",-0.0793254577131449,0.0491,0.9,18
"Brown",-0.0793254577131449,0.0114,0.9,18
"Stouffer",-0.0793254577131449,0.0079,0.9,18
"DPM",-0.0793254577131449,0.0094,0.9,18
"ORBIT_P",-0.0793254577131449,0.0485,0.9,18
"Fisher",0.0270612779469248,0.0481,0,19
"Brown",0.0270612779469248,0.0479,0,19
"Stouffer",0.0270612779469248,0.0542,0,19
"DPM",0.0270612779469248,0.0299,0,19
"ORBIT_P",0.0270612779469248,0.0475,0,19
"Fisher",0.0256735698169351,0.0482,0.1,19
"Brown",0.0256735698169351,0.0442,0.1,19
"Stouffer",0.0256735698169351,0.0501,0.1,19
"DPM",0.0256735698169351,0.0278,0.1,19
"ORBIT_P",0.0256735698169351,0.0481,0.1,19
"Fisher",0.0307343560221599,0.0483,0.2,19
"Brown",0.0307343560221599,0.0407,0.2,19
"Stouffer",0.0307343560221599,0.0458,0.2,19
"DPM",0.0307343560221599,0.0262,0.2,19
"ORBIT_P",0.0307343560221599,0.0477,0.2,19
"Fisher",0.029508507733968,0.0486,0.3,19
"Brown",0.029508507733968,0.0368,0.3,19
"Stouffer",0.029508507733968,0.0411,0.3,19
"DPM",0.029508507733968,0.024,0.3,19
"ORBIT_P",0.029508507733968,0.0484,0.3,19
"Fisher",0.0221560050770153,0.0475,0.4,19
"Brown",0.0221560050770153,0.0319,0.4,19
"Stouffer",0.0221560050770153,0.0361,0.4,19
"DPM",0.0221560050770153,0.021,0.4,19
"ORBIT_P",0.0221560050770153,0.0478,0.4,19
"Fisher",0.0263459931791707,0.0476,0.5,19
"Brown",0.0263459931791707,0.0278,0.5,19
"Stouffer",0.0263459931791707,0.0314,0.5,19
"DPM",0.0263459931791707,0.0187,0.5,19
"ORBIT_P",0.0263459931791707,0.0478,0.5,19
"Fisher",0.0249866241706691,0.0466,0.6,19
"Brown",0.0249866241706691,0.023,0.6,19
"Stouffer",0.0249866241706691,0.0269,0.6,19
"DPM",0.0249866241706691,0.0161,0.6,19
"ORBIT_P",0.0249866241706691,0.0474,0.6,19
"Fisher",0.0292307884365118,0.0473,0.7,19
"Brown",0.0292307884365118,0.0203,0.7,19
"Stouffer",0.0292307884365118,0.0222,0.7,19
"DPM",0.0292307884365118,0.0147,0.7,19
"ORBIT_P",0.0292307884365118,0.0477,0.7,19
"Fisher",0.0364033359395245,0.0474,0.8,19
"Brown",0.0364033359395245,0.016,0.8,19
"Stouffer",0.0364033359395245,0.0169,0.8,19
"DPM",0.0364033359395245,0.0124,0.8,19
"ORBIT_P",0.0364033359395245,0.0479,0.8,19
"Fisher",0.0464683121933529,0.0466,0.9,19
"Brown",0.0464683121933529,0.0116,0.9,19
"Stouffer",0.0464683121933529,0.0111,0.9,19
"DPM",0.0464683121933529,0.0101,0.9,19
"ORBIT_P",0.0464683121933529,0.0469,0.9,19
"Fisher",-0.00400919959991019,0.0513,0,20
"Brown",-0.00400919959991019,0.0509,0,20
"Stouffer",-0.00400919959991019,0.0528,0,20
"DPM",-0.00400919959991019,0.0305,0,20
"ORBIT_P",-0.00400919959991019,0.0522,0,20
"Fisher",-0.0124039695228151,0.0513,0.1,20
"Brown",-0.0124039695228151,0.047,0.1,20
"Stouffer",-0.0124039695228151,0.0474,0.1,20
"DPM",-0.0124039695228151,0.028,0.1,20
"ORBIT_P",-0.0124039695228151,0.0513,0.1,20
"Fisher",-0.0154398304898478,0.0518,0.2,20
"Brown",-0.0154398304898478,0.0431,0.2,20
"Stouffer",-0.0154398304898478,0.0431,0.2,20
"DPM",-0.0154398304898478,0.0258,0.2,20
"ORBIT_P",-0.0154398304898478,0.0516,0.2,20
"Fisher",-0.0152415462427596,0.0514,0.3,20
"Brown",-0.0152415462427596,0.0383,0.3,20
"Stouffer",-0.0152415462427596,0.0388,0.3,20
"DPM",-0.0152415462427596,0.0234,0.3,20
"ORBIT_P",-0.0152415462427596,0.0516,0.3,20
"Fisher",-0.0180954479755416,0.0522,0.4,20
"Brown",-0.0180954479755416,0.0346,0.4,20
"Stouffer",-0.0180954479755416,0.0341,0.4,20
"DPM",-0.0180954479755416,0.0217,0.4,20
"ORBIT_P",-0.0180954479755416,0.0522,0.4,20
"Fisher",-0.00865847594826854,0.052,0.5,20
"Brown",-0.00865847594826854,0.0301,0.5,20
"Stouffer",-0.00865847594826854,0.0297,0.5,20
"DPM",-0.00865847594826854,0.0203,0.5,20
"ORBIT_P",-0.00865847594826854,0.053,0.5,20
"Fisher",-0.011769583898883,0.0519,0.6,20
"Brown",-0.011769583898883,0.0267,0.6,20
"Stouffer",-0.011769583898883,0.0253,0.6,20
"DPM",-0.011769583898883,0.0184,0.6,20
"ORBIT_P",-0.011769583898883,0.0525,0.6,20
"Fisher",-0.00297610499443152,0.0522,0.7,20
"Brown",-0.00297610499443152,0.0234,0.7,20
"Stouffer",-0.00297610499443152,0.0216,0.7,20
"DPM",-0.00297610499443152,0.0169,0.7,20
"ORBIT_P",-0.00297610499443152,0.0523,0.7,20
"Fisher",0.00276346916311598,0.0521,0.8,20
"Brown",0.00276346916311598,0.0185,0.8,20
"Stouffer",0.00276346916311598,0.0163,0.8,20
"DPM",0.00276346916311598,0.0143,0.8,20
"ORBIT_P",0.00276346916311598,0.0522,0.8,20
"Fisher",0.00796820398739438,0.0515,0.9,20
"Brown",0.00796820398739438,0.0143,0.9,20
"Stouffer",0.00796820398739438,0.0114,0.9,20
"DPM",0.00796820398739438,0.0119,0.9,20
"ORBIT_P",0.00796820398739438,0.0513,0.9,20
